"Date","Fuel_Price","CPI"
"05/02/2010",2.545,209.8529663
"05/02/2010",2.572,203.0642742
"05/02/2010",2.572,209.8529663
"05/02/2010",2.572,210.7526053
"05/02/2010",2.572,211.0963582
"05/02/2010",2.572,211.6539716
"05/02/2010",2.572,212.6223518
"05/02/2010",2.572,214.4248812
"05/02/2010",2.572,214.4714512
"05/02/2010",2.572,214.6554591
"05/02/2010",2.58,189.3816974
"05/02/2010",2.598,126.4420645
"05/02/2010",2.666,126.4420645
"05/02/2010",2.784,135.3524608
"05/02/2010",2.784,181.8711898
"05/02/2010",2.784,204.2471935
"05/02/2010",2.788,131.5279032
"05/02/2010",2.788,135.3524608
"05/02/2010",2.954,131.5279032
"05/02/2010",2.954,135.3524608
"05/02/2010",2.962,126.4420645
"12/02/2010",2.539,209.9970208
"12/02/2010",2.548,203.2010968
"12/02/2010",2.548,209.9970208
"12/02/2010",2.548,210.8979935
"12/02/2010",2.548,211.2421698
"12/02/2010",2.548,211.8004698
"12/02/2010",2.548,212.7700425
"12/02/2010",2.548,214.5747916
"12/02/2010",2.548,214.6214189
"12/02/2010",2.548,214.8056534
"12/02/2010",2.572,189.4642725
"12/02/2010",2.573,126.4962581
"12/02/2010",2.671,126.4962581
"12/02/2010",2.771,131.5866129
"12/02/2010",2.771,135.4113076
"12/02/2010",2.773,135.4113076
"12/02/2010",2.773,181.982317
"12/02/2010",2.773,204.3857472
"12/02/2010",2.828,126.4962581
"12/02/2010",2.94,131.5866129
"12/02/2010",2.94,135.4113076
"12/02/2010",2.946,126.4962581
"19/02/2010",2.472,210.0451024
"19/02/2010",2.514,203.2479796
"19/02/2010",2.514,210.0451024
"19/02/2010",2.514,210.9451605
"19/02/2010",2.514,211.2891429
"19/02/2010",2.514,211.8471283
"19/02/2010",2.514,212.8161546
"19/02/2010",2.514,214.6198868
"19/02/2010",2.514,214.6664878
"19/02/2010",2.514,214.8506185
"19/02/2010",2.54,126.5262857
"19/02/2010",2.55,189.5340998
"19/02/2010",2.654,126.5262857
"19/02/2010",2.745,135.4657781
"19/02/2010",2.745,182.0347816
"19/02/2010",2.745,204.4321004
"19/02/2010",2.747,131.637
"19/02/2010",2.747,135.4657781
"19/02/2010",2.909,131.637
"19/02/2010",2.909,135.4657781
"19/02/2010",2.915,126.5262857
"26/02/2010",2.52,210.0771885
"26/02/2010",2.561,203.2798724
"26/02/2010",2.561,210.0771885
"26/02/2010",2.561,210.9759573
